element_type,osmid,amenity,diet:vegan,diet:vegetarian,name,opening_hours,organic,website,wheelchair,geometry,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,phone,cuisine,source,source:date,old_name,toilets:wheelchair,brand,brand:wikidata,brand:wikipedia,email,delivery,description,smoking,takeaway,shop,survey:date,url,addr:housename,outdoor_seating,branch,facebook,image,mapillary,capacity,note,contact:phone,operator,payment:bitcoin,phone_1,bar,diet:mediterranean,diet:non-vegetarian,diet:omnivore,opening_hours:covid19,reservation,contact:email,contact:website,name:en,name:nl,ref:bag,alt_name,level,name:yue,name:zh,internet_access,diet:meat,name:es,short_name,craft,wikidata,wikipedia,check_date:opening_hours,vegan,payment:cash,payment:cryptocurrencies,payment:maestro,payment:visa_electron,delivery:covid19,microbrewery,toilets,fax,nodes,building,start_date,layer,note:BAG,fixme,indoor
node,738928042,restaurant,,,Leuk,Tu-Sa 12:00-24:00; Su 12:00-17:00,,http://www.leuketenendrinken.nl,,POINT (4.3103667 52.0780632),'s-Gravenhage,,29,2511AM,Kettingstraat,0703637859,,BAG,2017-11-08,,,,,,info@leuketenendrinken.nl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,738928069,restaurant,,,Very Italian Pizza,,,,,POINT (4.310487 52.0778619),,,,,,,italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,738928077,restaurant,,,Restaurant Zebedeus,11:00-21:30,,https://www.zebedeus.nl/,,POINT (4.3073529 52.0772325),'s-Gravenhage,,8,2513AM,Rond de Grote Kerk,+31 70 346 83 93,international,BAG,2017-11-08,,,,,,,no,"Lunch, diner, koffie.",outside,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,885825985,restaurant,,,De Tapperij,,,http://www.detapperij.net/,,POINT (4.3056233 52.0933422),'s-Gravenhage,,66,2585VL,Atjehstraat,,,BAG,2017-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,917305648,restaurant,,,Fouquet,,,https://www.fouquet.nl/,,POINT (4.3085781 52.0887758),'s-Gravenhage,NL,31,2585AC,Javastraat,,french,BAG,2014-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,922759280,restaurant,,,De Salon van Fagel,,,,,POINT (4.3055261 52.0824164),'s-Gravenhage,NL,140C,2514GP,Noordeinde,,,BAG,2017-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,925780779,restaurant,,,Blanche Marie,,,,,POINT (4.305426 52.0825076),'s-Gravenhage,NL,142-144,2514GP,Noordeinde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,926538503,restaurant,,,Simonis aan de haven,Mo-Th 10:00-20:00; Fr-Sa 10:00-21:00; Su 10:00-20:00,,https://www.simonisvis.nl/vestigingen/aan-de-haven,yes,POINT (4.2641344 52.1007503),'s-Gravenhage,NL,20,2583DM,Visafslagweg,+31703500042,seafood,BAG,2013-11-26,,,,,,,,,,,seafood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,929122659,restaurant,,,Sapori D'Italia,,,,,POINT (4.3072414 52.0885581),,,,,,,italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1294703986,restaurant,,,Follia,,,http://www.follia.nl,,POINT (4.3099014 52.0881204),'s-Gravenhage,,62,,Frederikstraat,,italian,survey,,,,,,,,,,,,,2021-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1356831697,restaurant,,,Golden Palace,Tu-Sa 15:30-22:00; Su 14:00-22:00,,,,POINT (4.3419355 52.0885871),,,,,,070 3825503,chinese,,,,,,,,,,,,,,,www.goldenpalace-denhaag.nl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1399292223,restaurant,,,Kimchi House,,,,,POINT (4.3044736 52.0791222),,,,,,,korean,survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1434814085,restaurant,,,India Palace,,,,,POINT (4.2809595 52.1125765),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1434839255,restaurant,,,Seinpost Gastrobar Indonesia,,,https://www.seinpostindonesia.nl/,,POINT (4.2756098 52.1092059),'s-Gravenhage,,60,2586AD,Zeekant,+31 (0) 707859178,indonesian,BAG,2013-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1515025808,restaurant,,,Dozo,,,https://restaurantdozo.nl,,POINT (4.3064616 52.078565),'s-Gravenhage,,13,2513CA,Prinsestraat,,sushi,BAG,2017-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1515026981,restaurant,,,il Senso,,,http://www.il-senso.nl,,POINT (4.3058947 52.0783347),'s-Gravenhage,,13,2513BC,Nobelstraat,,italian,BAG,2017-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1526044787,restaurant,,,Khaosaan Road,,,,,POINT (4.3057041 52.0782967),'s-Gravenhage,,19,2513BC,Nobelstraat,,thai,BAG,2017-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1526046767,restaurant,,,,,,,,POINT (4.3062881 52.0784549),'s-Gravenhage,,12,2513CD,Prinsestraat,,,BAG,2017-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1538156245,restaurant,,,Yara Grieks Eten & Grillroom,,,https://www.thuisbezorgd.nl/yara,,POINT (4.2828323 52.0442827),'s-Gravenhage,,62,2541RM,Steenwijklaan,,greek,,,,,,,,,,,,,,,,Yara Grieks Eten & Grillroom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1575396938,restaurant,,,Shang Hai,,,,,POINT (4.2976779 52.0202982),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1604815709,restaurant,,,Waterproef B.V.,,,,,POINT (4.2656231 52.0950294),'s-Gravenhage,NL,25-27,2583CL,Doctor Lelykade,070 358 87 70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1606681599,restaurant,,,Thai Basil,,,http://www.thaibasil.nl,,POINT (4.2742818 52.1055608),'s-Gravenhage,NL,89,2584BC,Keizerstraat,070 350 38 52,thai,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1606818317,restaurant,,,La Lanterna,,,https://www.lalanterna.nl/,,POINT (4.2737365 52.1061971),'s-Gravenhage,NL,30,2584BJ,Keizerstraat,070 355 53 40,italian,BAG,2013-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1608895152,restaurant,,,"Zo, Zoet & Zout",Mo-Fr 09:00-17:00; Sa-Su 10:00-17:00,,http://zozoetenzout.nl/,,POINT (4.2780879 52.1021696),'s-Gravenhage,,1,2584AV,Duinstraat,+31 70 355 8040,,BAG,2013-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1611903564,restaurant,,,Sun Wah,,,,,POINT (4.2791619 52.1054464),'s-Gravenhage,NL,35,2584HD,Badhuisstraat,+31 (0)70 355 19 80,chinese,BAG,2017-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1621440781,restaurant,,,Weduwe van der Toorn,,,,,POINT (4.2693523 52.1013898),'s-Gravenhage,NL,2,2583DA,Treilerdwarsweg,070 322 58 81,fish,BAG,2013-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1621462026,restaurant,,,La Tavola,,,https://latavola.nl/,,POINT (4.2708292 52.1004033),'s-Gravenhage,NL,24A,2583CM,Doctor Lelykade,,italian,BAG,2021-10-28,,,,,,,,,,yes,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1621475232,restaurant,,,Restaurant Lemongrass,,,https://www.lemongrass.nl/,,POINT (4.2710175 52.1003256),'s-Gravenhage,NL,24,2583CM,Doctor Lelykade,070 352 02 95,,BAG,2021-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1621486098,restaurant,,,Thais Oriëntal Phuket,,,http://www.restaurant-phuket.nl,,POINT (4.2709973 52.1004223),'s-Gravenhage,NL,35,2583BH,Schokkerweg,070 306 38 88,thai,BAG,2021-10-28,,,,,,,,,,,,,,,,Fine Eastern Restaurants Nederland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1621661081,restaurant,,,De Dagvisser,Mo-Su 11:30+,,,,POINT (4.2713463 52.1000949),'s-Gravenhage,NL,26,2583CM,Doctor Lelykade,070 350 05 93,,BAG,2017-11-08,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1621661101,restaurant,,,Puerto Segundo,,,,,POINT (4.2714836 52.100163),'s-Gravenhage,NL,37,2583BH,Schokkerweg,070 306 09 66,,BAG,2013-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1621673762,restaurant,,,Dap & Co,,,,yes,POINT (4.2719888 52.0999283),'s-Gravenhage,NL,39,2583BH,Schokkerweg,070 322 39 69,,BAG,2013-11-26,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1621673773,restaurant,,,Dok 28,"Mo-Th 09:00-23:00; Fr 09:00-24:00; Sa 00:00-01:00,09:00-24:00; Su 00:00-01:00,09:00-23:00",,www.dok28.nl,yes,POINT (4.2719961 52.0997838),'s-Gravenhage,NL,28b,2583CM,Doctor Lelykade,+31 70 322 8420,,,,,,,,,,,,,,,,,,yes,,https://www.facebook.com/DOK28/?tn-str=k*F,https://images.mapillary.com/OzQy6vZZWXiP64FMY9ObZF/thumb-2048.jpg,OzQy6vZZWXiP64FMY9ObZF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1621673781,restaurant,,,Brouwcafe de Hofnar,,,,,POINT (4.2717439 52.0999151),'s-Gravenhage,NL,28,2583CM,Doctor Lelykade,070 354 09 70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1621701752,restaurant,,,Pizzeria Ristorante La Stella Marina,,,,,POINT (4.2657048 52.095089),'s-Gravenhage,NL,23,2583CL,Doctor Lelykade,070 352 03 08,italian,BAG,2013-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1621754727,restaurant,,,SuzieQ,,,,,POINT (4.2652162 52.0947376),'s-Gravenhage,NL,33-37,2583CL,Doctor Lelykade,070 355 88 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1659046918,restaurant,,,Crazy Pianos,,,,,POINT (4.2811684 52.1135072),'s-Gravenhage,NL,21-29,2586JK,Strandweg,070 322 75 25,regional,,,,,,,,,,,no,,,,,,,,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1659080135,restaurant,,,Big Bell,,,,,POINT (4.2821088 52.114262),'s-Gravenhage,NL,41,2586JL,Strandweg,070 352 30 39,,BAG,2017-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1670406157,restaurant,,,Haringhuisje,9:00 – 19:00,,https://www.hetharinghuisje.nl/,yes,POINT (4.2674922 52.1023382),'s-Gravenhage,NL,66,2583DL,Vissershavenweg,+31703556724,fish,BAG,2013-11-26,,no,,,,info@hetharinghuisje.nl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1673445959,restaurant,,,1900 aan Zee,We-Su 10:00-17:00,,http://www.1900.nu/,,POINT (4.2732232 52.1063884),'s-Gravenhage,NL,49,2584BB,Keizerstraat,+31 6 4271 7591,teahouse,BAG,2013-11-26,,,,,,,,,,,,,,,,,,,,,Lunchroom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1673567551,restaurant,,,Columbus,,,,,POINT (4.2824928 52.1143479),'s-Gravenhage,NL,47,2586JL,Strandweg,070 352 25 26,,BAG,2013-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1673567587,restaurant,,,Steam,,,,,POINT (4.2825087 52.1145276),'s-Gravenhage,NL,55,2586JL,Strandweg,070 - 355 33 22,asian,BAG,2017-11-08,,,,,,,,,,,,,https://www.steamscheveningen.nl/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1674566936,restaurant,,,Danielz,,,,,POINT (4.2823811 52.1142818),'s-Gravenhage,NL,43,2586JL,Strandweg,070 350 20 68,,BAG,2013-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1684465321,restaurant,,,'t Boothuys,,,,,POINT (4.2788206 52.1119561),'s-Gravenhage,NL,11F,2586JK,Strandweg,070 351 29 29,,BAG,2013-11-26,,,,,,,,,,,,,https://tboothuys.nl/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1687084884,restaurant,,,Mero,,,https://www.merovis.nl/,,POINT (4.2682202 52.1019827),'s-Gravenhage,NL,61e,2583DL,Vissershavenweg,070 352 36 00,seafood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1687137321,restaurant,,,Reina,,,,,POINT (4.2691547 52.1014681),'s-Gravenhage,NL,55A,2583DL,Vissershavenweg,,,BAG,2013-11-26,,,,,,,,,,,,,,,,,,,,,grand cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1696773051,restaurant,,,Taste Fresh,,,,,POINT (4.2695585 52.0791197),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1759862355,restaurant,,,Het Gouden Kalf,,,https://www.hetgoudenkalf.com/,,POINT (4.2703139 52.0982395),'s-Gravenhage,,1d,2583CL,Doctor Lelykade,,french,,,,,,,,,,,,,,,,Paviljoen / Pavillion with 'Rederij Groen',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1773369287,restaurant,,,La Chacrita,,,https://www.lachacrita.nl/,yes,POINT (4.2809555 52.1069264),'s-Gravenhage,NL,2,2586GS,Neptunusstraat,070 412 77 72,argentinean,survey;local knowledge,2018-03-16,,,,,,,,,outside,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1775833959,restaurant,,,Indian Bay Dreams,,,https://www.indianbaydreams.nl/,,POINT (4.2658483 52.0947873),'s-Gravenhage,NL,222B,2583CP,Doctor Lelykade,,indian,BAG,2013-11-26,,,,,,,,,,,,,,,,,,,,,,070-3547502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1853454994,restaurant,,,Casa Capello,,,,,POINT (4.3021511 52.091734),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1937641128,restaurant,,only,De Vegetarische Slager - De Vleesch Lobby,,,,,POINT (4.3134382 52.0849312),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1938130660,restaurant,,,Rotana,,,,,POINT (4.3204794 52.0715118),,,,,,,,survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1950391877,restaurant,,,Hang Zhou,,,,,POINT (4.3054816 52.0515649),,,,,,,chinese,,,,,,,,,,,,,,,www.hangzhoudenhaag.nl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1963167185,restaurant,,,Mis Mis,,,,,POINT (4.277246 52.0614006),,,,,,,pizza;kebab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1976422968,restaurant,,,Ristorante Da Braccini,,,http://www.dabraccini.nl,,POINT (4.2827734 52.0794304),'s-Gravenhage,,24A,2562CS,Regentesselaan,,italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1976432486,restaurant,,,Proeflokaal Bregje,,,https://www.proeflokaalbregje.nl,limited,POINT (4.2835134 52.0809933),'s-Gravenhage,,209,,Laan van Meerdervoort,,regional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1976777681,restaurant,,,Little Miss Sangria,,,littlemisssangria.nl,,POINT (4.2835125 52.0816496),'s-Gravenhage,,61,2517CR,Reinkenstraat,,spanish,BAG,2014-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1976780669,restaurant,yes,yes,De Sissende Sampan,,,http://sissendesampan.nl,,POINT (4.2838181 52.0809274),'s-Gravenhage,,207,,Laan van Meerdervoort,,thai,,,,,,,,,,,,,,,,Cornerhouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1977639647,restaurant,,,Toko Cendana Den Haag,,,,,POINT (4.2885271 52.0818978),'s-Gravenhage,,164A,,Laan van Meerdervoort,,indonesian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1977955803,restaurant,,,Le Borsalino,,,http://www.borsalino.nl,,POINT (4.2864428 52.0809721),'s-Gravenhage,,196A,,Laan van Meerdervoort,,Spare ribs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1977958020,restaurant,,,Eetcafé Augustus,,,http://www.eetcafe-augustus.nl,,POINT (4.2832379 52.081986),'s-Gravenhage,,75,,Reinkenstraat,,regional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1978473669,restaurant,,,Da Sebastiano,,,http://www.dasebastiano.nl,,POINT (4.285053 52.0807427),'s-Gravenhage,,214,,Laan van Meerdervoort,,italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1987143285,restaurant,,,Ruby Chinese Specialiteiten,,,,,POINT (4.2538904 52.0654171),,,,,,,chinese,,,,,,,,,,,,,,,www.restaurant-ruby.nl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2038149488,restaurant,,,Oscars,,,www.oscars.nl,,POINT (4.2882878 52.1176012),'s-Gravenhage,,205,2586HZ,Gevers Deynootweg,070 352 27 42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
